ACTINV-PROBLEM 1
n 3822
decay 8751
147 129 3.09899136282091945e+01
146 129 4.36426002574780370e+00
145 129 1.32028034392370519e+00
130 130 -4.68342689567530570e+01
148 130 3.18473028905920827e+01
147 130 1.31135953078908578e+01
146 130 1.87337075827012223e+00
131 131 -9.49516685698555136e+01
149 131 7.41572531530571553e+01
148 131 1.23437169140812166e+01
147 131 8.45069850271713996e+00
132 132 -2.03866817811748632e+02
150 132 2.03866817811748632e+02
133 133 -1.98042051588555779e+02
151 133 1.98042051588555779e+02
134 134 -3.85081766977747390e+06
133 134 3.85081766977747390e+06
135 135 -1.15524530093324222e+07
153 135 5.77622650466621108e+06
152 135 5.77622650466621108e+06
136 136 -5.33190138892265587e+20
118 136 5.33190138892265587e+20
137 137 -1.73286795139986314e+07
119 137 1.73286795139986314e+07
138 138 -1.54754896307199208e+00
121 138 1.23726539597605756e+00
86 138 3.10283567095934409e-01
139 139 -3.08202392423274942e-02
122 139 3.08202392423274942e-02
140 140 -8.43912380512156164e-09
123 140 8.43912380512156164e-09
142 142 -1.28386266245831629e-05
162 142 1.28386266245831629e-05
143 143 -3.43482250029705298e+01
162 143 1.71741125014852648e-02
142 143 3.43310508904690437e+01
144 144 -1.17283786896775852e-02
163 144 1.17283786896775852e-02
145 145 -6.43590696898742154e-01
164 145 6.43590696898742154e-01
146 146 -2.30281455335529994e+00
165 146 2.29982089443593818e+00
164 146 2.99365891936188974e-03
147 147 -2.27261370675391916e+01
166 147 2.27261370675391916e+01
148 148 -1.54375764044531234e+01
167 148 1.21184974774957031e+01
166 148 3.31907892695742168e+00
149 149 -1.44405662616655270e+01
168 149 9.94232265087358513e+00
167 149 4.33216987849965829e+00
166 149 1.66066512009153566e-01
127 149 7.94231144391604101e-06
150 150 -4.07733635623497221e+01
169 150 2.56872190442803259e+01
168 150 1.50861445180693963e+01
151 151 -5.25111500424200983e+01
170 151 3.57075820288456711e+01
169 151 1.26026760101808240e+01
168 151 4.20089200339360769e+00
152 152 -8.66433975699931551e+01
171 152 3.46573590279972663e+01
170 152 4.07223968578967828e+01
169 152 1.12636416840991114e+01
153 153 -1.26026760101808236e+02
172 153 1.07122746086536992e+02
171 153 1.89040140152712333e+01
154 154 -4.62098120373296865e+02
173 154 4.62098120373296865e+02
155 155 -3.85081766977747390e+06
174 155 3.85081766977747390e+06
156 156 -1.15524530093324222e+07
174 156 5.77622650466621108e+06
175 156 5.77622650466621108e+06
157 157 -1.73286795139986328e+11
118 157 1.73286795139986328e+11
158 158 -7.63377952158529993e+00
138 158 5.57265905075726842e+00
120 158 2.06112047082803107e+00
159 159 -5.68153426688479790e+00
139 159 3.80094642454593012e+00
121 159 1.85218017100444410e+00
102 159 2.84076713344239909e-02
160 160 -1.78853613871744366e-01
140 160 1.78853613871744366e-01
161 161 -6.12483149739281862e-02
141 161 6.12483149739281862e-02
165 165 -1.22144777007109550e-03
187 165 1.22144777007109550e-03
166 166 -9.20587537599204791e-06
188 166 9.20587537599204791e-06
167 167 -5.33190138892265630e-01
189 167 5.33190138892265630e-01
168 168 -2.06909606137297075e+00
190 168 2.06909606137297075e+00
169 169 -2.98770336448252261e+00
191 169 2.93691240728631975e+00
190 169 5.07909571962028850e-02
170 170 -8.05985093674355113e+00
192 170 7.61655913522265582e+00
191 170 4.43291801520895312e-01
171 171 -7.65908486806569400e+00
193 171 6.35704044049452577e+00
192 171 1.30204442757116801e+00
172 172 -3.46573590279972663e+01
194 172 3.46573590279972663e+01
173 173 -9.90210257942778860e+00
195 173 4.75300923812533860e+00
194 173 5.14909334130245000e+00
174 174 -1.77730046297421865e+02
196 174 1.77730046297421865e+02
175 175 -2.66595069446132798e+06
197 175 2.66595069446132798e+06
176 176 -2.66595069446132798e+06
198 176 1.33297534723066399e+06
197 176 1.33297534723066399e+06
177 177 -3.85081766977747390e+06
176 177 3.85081766977747390e+06
178 178 -4.07733635623497237e+06
199 178 2.03866817811748618e+06
200 178 2.03866817811748618e+06
179 179 -1.98042051588555798e+07
158 179 1.98042051588555798e+07
180 180 -1.17482572976261928e+01
160 180 4.66288332142783535e+00
139 180 7.04895437857571583e+00
119 180 3.64195976226411935e-02
181 181 -1.47478123523392624e+00
161 181 1.45678890416407225e+00
140 181 1.79923310698539007e-02
182 182 -3.37626488338989450e-01
162 182 3.37626488338989450e-01
183 183 -5.33190138892265608e+00
162 183 9.31483172644787971e-01
121 183 1.59957041667679661e-03
